Datetime,cape,cin,lift,k,total_totals,showalter
2016-10-17 10:00:00,870.7047133179229,-62.19256172050098,-274.42576206908467,26.700000000000003,41.0,2.310280278384494
2016-10-18 10:00:00,161.57249762824733,-291.1018772566318,-272.65439913981226,26.099999999999994,41.8,1.4922884844331064
2016-10-19 10:00:00,324.9189147771997,-395.7291794694162,-275.15317981010134,27.5,43.2,2.5938178138838337
2016-10-20 10:00:00,722.0504606507317,-90.72156370431377,-276.044936761813,33.6,47.7,-2.0723956831100505
2016-10-21 10:00:00,260.268850912419,-108.00284407764026,-274.54102832393426,32.1,44.0,0.4349012103616925
2016-10-22 10:00:00,0.7309735378338362,-12.50897439025566,-269.18248257250104,29.3,38.7,3.150185833463877
2016-10-23 10:00:00,1.0377424438275205,-5.630627943842714,-270.91935375704264,32.3,40.2,2.646681240447913
2016-10-24 10:00:00,0.0,0.0,-273.0967390049264,30.6,43.5,1.1938227264130088
2016-10-25 10:00:00,0.0,0.0,-270.0209534527333,26.5,40.4,1.918817822552091
2016-10-26 10:00:00,0.0,0.0,-270.2335438490395,31.9,39.6,2.4219938585566183
2016-10-27 10:00:00,524.8513718552792,-268.8489989238202,-276.3874828376896,37.8,49.0,-1.2988529963267066
2016-10-28 10:00:00,9.564948355879007,0.0,-269.8240139933356,26.1,35.3,6.289426322821771
2016-10-29 10:00:00,3.000150315354945,0.0,-266.05427115143834,-24.3,29.2,12.480913014659537
2016-10-30 10:00:00,39.42516916076471,0.0,-269.71021868642185,-18.0,39.1,5.57004945506119
2016-10-31 10:00:00,0.0,0.0,-270.69354234613485,-16.3,39.4,5.788241740419256
2016-11-01 10:00:00,0.0,0.0,-271.3212150271628,-4.299999999999997,41.2,4.354290917585558
2016-11-02 10:00:00,-21.133126576106257,-182.8542966900989,-271.4939414599557,18.7,35.4,8.012322434913802
2016-11-04 10:00:00,26.76438016117216,-0.4718498067301757,-272.27911960447136,34.0,43.0,1.35258498746997
2016-11-05 10:00:00,0.0,0.0,-271.38232875194774,31.700000000000003,43.1,1.5000621215614842
2016-11-06 10:00:00,314.3010055559091,0.0,-274.0914164700735,20.5,38.8,6.137943515888377
2016-11-07 10:00:00,965.987551166596,-3.6634414057331934,-276.4754815483344,20.5,45.0,2.1223362513827624
2016-11-08 10:00:00,600.427561267906,-43.92734242303973,-275.1707100698101,31.9,45.0,1.7738987761749063
2016-11-09 10:00:00,142.9283880586722,-94.675997108095,-274.78937437227063,28.300000000000004,43.400000000000006,2.549890696795467
2016-11-10 10:00:00,1090.8912431259532,-194.00627702919556,-275.9915665251621,27.3,42.8,3.1530467593184426
2016-11-11 10:00:00,690.6050604413966,-77.34436265933431,-275.58464519303084,32.9,46.6,-0.235415015328738
2016-11-12 10:00:00,264.3363901166539,-44.12658090961075,-274.88609988448104,30.0,42.6,2.6258992735873674
2016-11-14 10:00:00,-40.89708539730335,0.0,-271.1541740708631,33.2,40.5,2.546779715261221
2016-11-15 10:00:00,12.94717689120588,-227.51556779478992,-271.00483419774685,33.0,38.7,2.924704413627012
2016-11-16 10:00:00,821.1873812275795,-56.07678987161461,-276.31242454892845,32.3,46.2,-0.2897197216155067
2016-11-17 10:00:00,677.5117169787372,-95.17483912920952,-276.1176301554815,38.39999999999999,48.8,-2.4424595297922567
2016-11-18 10:00:00,639.3844205624303,0.0,-275.9176301554815,33.2,44.400000000000006,0.7924299751509238
2016-11-19 10:00:00,91.34813189585726,0.0,-264.41846134744964,-24.4,30.9,11.028003226503484
2016-11-20 10:00:00,8.405685406806594,0.0,-263.66512634657903,-13.6,26.7,13.72304164239777
2016-11-21 10:00:00,0.0,0.0,-266.6865640827068,-18.7,37.2,6.502783010281211
2016-11-22 10:00:00,74.46635279279054,-127.15085893073862,-273.2908590978738,26.2,36.8,6.882063811619719
2016-11-23 10:00:00,13.658872822804282,0.0,-273.56603897489816,32.300000000000004,43.1,1.241429783361923
2016-11-24 10:00:00,13.32347563651006,0.0,-270.26949176255783,24.1,37.6,3.836945841839224
2016-11-25 10:00:00,0.0531292847548575,-3.148747820038571,-272.2754815483344,2.5,34.8,7.92458628789542
2016-11-26 10:00:00,0.0,0.0,-271.2154308650164,21.90000000000001,40.2,3.7390914612523263
2016-11-27 10:00:00,-215.0281628784309,-92.79493766622896,-271.1549530081857,24.9,38.8,3.773032284237024
2016-11-28 10:00:00,369.8452888876876,-178.75686771275917,-274.7832277983266,6.700000000000003,44.4,0.7075064908635111
2016-11-29 10:00:00,1052.079721248255,0.0,-275.0841901781074,33.9,41.2,1.121133180192385
2016-11-30 10:00:00,4.617364051911967,0.0,-267.48222853556075,23.6,33.7,7.370946047087659
2016-12-01 10:00:00,54.45451717285111,0.0,-268.0047365704415,19.200000000000003,30.3,10.549729070163153
2016-12-02 10:00:00,3.738062923401293,0.0,-269.00103183267913,22.3,37.0,5.266090162424564
2016-12-03 10:00:00,1.9841377304670955,-428.18111321640873,-271.387489427992,30.200000000000003,41.7,2.085694429858336
2016-12-04 10:00:00,229.68054939288143,-169.36944460629206,-275.71090802282146,37.8,47.4,-0.8052179765018765
2016-12-05 10:00:00,-169.02106368744643,0.0,-272.8842647178628,34.4,46.900000000000006,-1.0752702526122562
2016-12-06 10:00:00,0.0,0.0,-269.11098051833744,17.299999999999997,34.8,7.397891822749727
2016-12-07 10:00:00,68.16546215316374,-531.4993344966198,-274.03201202051434,-12.299999999999995,43.2,3.219142933327305
